year,fast_charging_point,slow_charging_point,sales_BEV,sales_PHEV,EV_sales_share,stock_BEV,stock_PHEV,EV_stock_share
2010,0.0,0.0,40.0,0.0,0.0020391319412738,646.0,0.0,0.0017577753169462
2011,0.0,0.0,113.0,0.0,0.0064601441845297,759.0,0.0,0.0020451054442673
2012,1.0,1350.0,459.0,0.0,0.0327261537313461,1218.0,0.0,0.0032849668059498
2013,6.0,1350.0,794.0,182.0,0.0747535303235054,2012.0,182.0,0.0059356759302318
2014,10.0,1350.0,1040.0,336.0,0.1011019796133041,3052.0,518.0,0.0096276365220546
2015,70.0,1679.0,1396.0,738.0,0.1353196203708648,4448.0,1256.0,0.0152712492272257
2016,166.0,2298.0,1382.2900390625,1438.7099609375,0.1543889790773391,5830.2900390625,2694.7099609375,0.0225075744092464
2017,393.0,2424.0,2022.0,2864.0,0.247344434261322,7809.35986328125,5554.7099609375,0.0346935577690601
2018,573.0,2860.0,4978.0,4798.0,0.5092191696166992,12787.3603515625,10352.7099609375,0.0593061409890651
2019,864.0,8312.0,10663.0,6471.0,0.8941095471382141,23450.359375,16823.7109375,0.1018436476588249
2020,1231.0,12150.0,32485.0,27407.0,4.33490800857544,55307.0,44230.7109375,0.2612400949001312
2021,2247.0,20224.0,67273.0,70739.0,9.46615505218506,122138.0,113583.0,0.6186577677726746
